Date,Products,ISIN,Place,Exec Place,Qty,Buying_value,Actual_value,Total_Actual_value_for_day,Total_Buying_value_for_day,Product_pct_in_portfolio_for_day,Value_diff,Percentage_diff
2025-03-09,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,662.8499794006348,85299.55060958862,82139.27866899999,0.7770849607806997,82.34997940063477,14.186042963072312
2025-03-10,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,638.2499885559082,82330.8490562439,82139.27866899999,0.7752258064530478,57.7499885559082,9.948318442016916
2025-03-11,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,630.3000068664551,81149.79913711548,82139.27866899999,0.7767117276550038,49.80000686645508,8.57881255236091
2025-03-12,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,645.6000137329102,82603.50116729736,82139.27866899999,0.781564951375817,65.10001373291016,11.214472649941456
2025-03-13,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,639.2999839782715,82118.90142440796,82139.27866899999,0.7785052806225854,58.799983978271484,10.129196206420584
2025-03-14,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,661.6500091552734,83803.35090637207,82139.27866899999,0.789526912706022,81.15000915527344,13.979329742510496
2025-03-15,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,661.6500091552734,83803.35090637207,82139.27866899999,0.789526912706022,81.15000915527344,13.979329742510496
2025-03-16,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,661.6500091552734,83803.35090637207,82139.27866899999,0.789526912706022,81.15000915527344,13.979329742510496
2025-03-17,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,658.2000160217285,84476.10006332397,82139.27866899999,0.7791553060905231,77.70001602172852,13.385015679884326
2025-03-18,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,686.25,85554.75082397461,82139.27866899999,0.802117934294416,105.75,18.217054263565892
2025-03-19,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,681.4500045776367,86017.64862060547,82139.27866899999,0.7922211493867735,100.95000457763672,17.39018166712088
2025-03-20,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,667.649974822998,85536.64892196655,82139.27866899999,0.780542589916145,87.14997482299805,15.012915559517321
2025-03-21,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,668.4000205993652,84257.70147323608,82139.27866899999,0.793280624693611,87.90002059936523,15.142122411604692
